"","poste","mean","var","logmean","logvar"
"1","acuponcture","0.0140387285318502","0.152264143173359","0.00442051562428403","0.00789140332718803"
"2","autres_prothese","0.0553147334229088","3.31564039822741","0.0237352513946628","0.025856736924771"
"3","auxi_medical","0.173121416461199","10.1636435382306","0.0437861363448407","0.074665925857665"
"4","bilan","0.0318402129827472","0.0344150174268637","0.021737666365517","0.0150364164475967"
"5","cesarienne","0.0264851036903048","24.4290408164112","0.0031017557326282","0.00598570177791531"
"6","chambre","0.0301550841821628","0.490142175313585","0.00957896470514868","0.016196066912705"
"7","chimio","0.0127700761833396","6.67223885704598","0.0013423097539892","0.0035931563157162"
"8","chiropractie","0.0271449698753488","0.275150914715993","0.00851667646137499","0.0152669747642495"
"9","cures","0.000658797179973397","0.00691330093260505","0.000231537908373326","0.000355939431310851"
"10","dentaire_gen","0.572948595587187","3.62497542897758","0.242997467786528","0.277663216761328"
"11","divers","0.796335520149948","292.77905996434","0.0172888744813463","0.0800193166840183"
"12","fertilite","0.00530680934722811","0.0929894057066091","0.00139304444582485","0.00269688133894618"
"13","generaliste","0.803458515611095","4.29903708118414","0.324826459409938","0.365828835338964"
"14","hospi","6.64695063880718","19843699.3794175","0.0518450794230198","0.101737941034521"
"15","hospi_jour","0.263810197931141","262.088519844685","0.0522955949866982","0.0637298061382047"
"16","implants","0.00509658215727905","0.0188689697620267","0.00253105820665365","0.00294121373676996"
"17","keratomie","0.00261333832896216","0.00528958327821407","0.0014407962046573","0.00156140538841309"
"18","kine","0.308849563969372","10.2047567229057","0.061813761765114","0.139864831097969"
"19","lentilles","0.0684927514812915","0.18016307026295","0.0364132025087586","0.0388266483754264"
"20","lit_accompagnant","0.00104595760801464","0.0376773564123557","0.000285921027722656","0.000468559707964188"
"21","maternite","0.14354628707384","4.66340952083976","0.0291211017200565","0.0681951762728048"
"22","med_alter","0.00148203346648044","0.00569697752733671","0.000748245388856027","0.00084083137942813"
"23","med_prevent","0.00897028534437091","0.0575369470302144","0.00463512189897131","0.00494237751135141"
"24","monture","0.0473774375114486","0.0516877147703164","0.0319532207154268","0.0224646755670286"
"25","optique","0.0661704249070067","0.121026722693678","0.0402174815642196","0.0338553384940603"
"26","orthodontie","0.0520605230510479","0.278441378460408","0.0214380226264385","0.0302498482062801"
"27","osteopathie","0.0302714291661463","0.129500910361959","0.0140453045429628","0.0175282487820677"
"28","paradontologie","0.000684816025943909","0.00149821811418844","0.000404159015171053","0.000369465230773257"
"29","petit_risque","1.39852549470246","35233.9761426249","0.339978067665149","0.445964126080169"
"30","pharmacie","2.97790189336126","426644.427517004","0.497748755349862","0.64275621216355"
"31","prothese_audio","0.000278922028803903","0.000501566074820168","0.000165641555070046","0.000155032243876837"
"32","prothese_dentaire","0.0746073393788828","0.394801759633444","0.0332331760006663","0.0419024290965721"
"33","psychiatrie","0.106970944942451","160.216673521128","0.0236266305626356","0.0462296835532748"
"34","radiotherapie","0.00193163912485091","0.0695041269864465","0.000320079341535957","0.000767954534430716"
"35","specialiste","0.795310741931553","8.64894627306486","0.312962773171266","0.367126936152213"
"36","transport","0.0117481026939041","2.32370114266946","0.003342766939406","0.00466808300054377"
"37","vaccins","0.136535885605688","0.506444941914924","0.0693080737876278","0.0727782744908551"
"38","verres","0.0502635205175493","0.108232447065943","0.0274164410260524","0.0290902154036596"
